name	chrom	start	end	score	strand	NMid	gene_name	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study	mm9_name	mm39ID
mmu_circ_0007582	chr18	89396258	89396555	0	-	ENSMUST00000097495	Dok6	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:89396258-89396555
mmu_circ_0007583	chr18	9315478	9315696	0	+	ENSMUST00000053917	Ccny	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:9315478-9315696
mmu_circ_0007584	chr18	9345193	9345471	0	-	ENSMUST00000053917	Ccny	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:9345193-9345471
mmu_circ_0007585	chr18	9345193	9353507	0	-	ENSMUST00000053917	Ccny	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:9345193-9353507
mmu_circ_0007586	chr18	9345193	9377828	0	-	ENSMUST00000053917	Ccny	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:9345193-9377828
mmu_circ_0007587	chr18	9345193	9386809	0	-	ENSMUST00000053917	Ccny	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:9345193-9386809
mmu_circ_0007588	chr18	9345193	9399278	0	-	ENSMUST00000053917	Ccny	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:9345193-9399278
mmu_circ_0007589	chr18	9386734	9399278	0	-	ENSMUST00000053917	Ccny	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:9386734-9399278
mmu_circ_0007590	chr18	9386734	9412753	0	-	ENSMUST00000053917	Ccny	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:9386734-9412753
mmu_circ_0007591	chr18	9840238	9849150	0	+	ENSMUST00000040069	Colec12	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:9840238-9849150
mmu_circ_0007592	chr18	9962343	9975707	0	+	ENSMUST00000025137	Thoc1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:9962343-9975707
mmu_circ_0007593	chr18	9962372	9970328	0	+	ENSMUST00000025137	Thoc1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:9962372-9970328
mmu_circ_0007594	chr18	9968750	9970328	0	+	ENSMUST00000025137	Thoc1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr18:9968750-9970328
mmu_circ_0007595	chr19	10040723	10041361	0	-	None	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10040723-10041361
mmu_circ_0007596	chr19	10047635	10047988	0	-	ENSMUST00000025567	Fads2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10047635-10047988
mmu_circ_0007597	chr19	10164118	10164247	0	+	ENSMUST00000010807	Fads1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10164118-10164247
mmu_circ_0007598	chr19	10403827	10403987	0	+	ENSMUST00000025652	Syt7	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10403827-10403987
mmu_circ_0007599	chr19	10426434	10426740	0	-	ENSMUST00000169121	Syt7	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10426434-10426740
mmu_circ_0007600	chr19	10480185	10480300	0	+	ENSMUST00000025570	Sdhaf2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10480185-10480300
mmu_circ_0007601	chr19	10514162	10517152	0	+	ENSMUST00000038379	Cpsf7	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10514162-10517152
mmu_circ_0007602	chr19	10557826	10565342	0	+	ENSMUST00000099694	Cybasc3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10557826-10565342
mmu_circ_0007603	chr19	10562545	10565342	0	+	ENSMUST00000164276	Cybasc3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10562545-10565342
mmu_circ_0007604	chr19	10598904	10601002	0	+	ENSMUST00000171227	Ddb1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10598904-10601002
mmu_circ_0007605	chr19	10602530	10604599	0	+	ENSMUST00000171227	Ddb1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10602530-10604599
mmu_circ_0007606	chr19	10606552	10606659	0	-	ENSMUST00000171227	Ddb1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10606552-10606659
mmu_circ_0007607	chr19	10836428	10837056	0	-	ENSMUST00000120524	Tmem132a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10836428-10837056
mmu_circ_0007608	chr19	10842704	10844473	0	+	ENSMUST00000120524	Tmem132a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:10842704-10844473
mmu_circ_0007609	chr19	11891711	11897759	0	+	ENSMUST00000061618	Patl1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:11891711-11897759
mmu_circ_0007610	chr19	12459437	12469914	0	-	ENSMUST00000045521	Dtx4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:12459437-12469914
mmu_circ_0007611	chr19	14441672	14445635	0	-	ENSMUST00000052011	Tle4	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:14441672-14445635
mmu_circ_0007612	chr19	16154121	16197136	0	+	ENSMUST00000025541	Gnaq	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:16154121-16197136
mmu_circ_0007613	chr19	16179648	16197136	0	+	ENSMUST00000025541	Gnaq	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:16179648-16197136
mmu_circ_0007614	chr19	16293380	16312474	0	+	ENSMUST00000025541	Gnaq	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:16293380-16312474
mmu_circ_0007615	chr19	16361732	16361848	0	+	ENSMUST00000025541	Gnaq	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:16361732-16361848
mmu_circ_0007616	chr19	16363880	16364784	0	+	ENSMUST00000025541	Gnaq	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:16363880-16364784
mmu_circ_0007617	chr19	16621112	16630120	0	-	ENSMUST00000068156	Vps13a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:16621112-16630120
mmu_circ_0007618	chr19	16687634	16703057	0	-	ENSMUST00000068156	Vps13a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:16687634-16703057
mmu_circ_0007619	chr19	16736950	16743904	0	-	ENSMUST00000068156	Vps13a	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:16736950-16743904
mmu_circ_0007620	chr19	18929521	18939510	0	-	ENSMUST00000112832	Rorb	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:18929521-18939510
mmu_circ_0007621	chr19	18954944	18965480	0	-	ENSMUST00000112832	Rorb	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:18954944-18965480
mmu_circ_0007622	chr19	21371916	21372036	0	+	ENSMUST00000087600	Gda	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:21371916-21372036
mmu_circ_0007623	chr19	21655716	21661669	0	+	ENSMUST00000052556	Fam108b	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:21655716-21661669
mmu_circ_0007624	chr19	21770001	21775792	0	+	ENSMUST00000096194	Tmem2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:21770001-21775792
mmu_circ_0007625	chr19	22101324	22101532	0	-	None	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:22101324-22101532
mmu_circ_0007626	chr19	22303001	22303470	0	-	ENSMUST00000099569	Trpm3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:22303001-22303470
mmu_circ_0007627	chr19	22674785	22676297	0	+	ENSMUST00000099569	Trpm3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:22674785-22676297
mmu_circ_0007628	chr19	22674785	22710535	0	+	ENSMUST00000099569	Trpm3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:22674785-22710535
mmu_circ_0007629	chr19	22674785	22770818	0	+	ENSMUST00000112704	Trpm3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:22674785-22770818
mmu_circ_0007630	chr19	22727134	22770818	0	+	ENSMUST00000112704	Trpm3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:22727134-22770818
mmu_circ_0007631	chr19	22743997	22770818	0	+	ENSMUST00000099569	Trpm3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:22743997-22770818
mmu_circ_0007632	chr19	22955655	22966264	0	+	ENSMUST00000099569	Trpm3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:22955655-22966264
mmu_circ_0007633	chr19	23208921	23246232	0	-	ENSMUST00000036334	Smc5	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:23208921-23246232
mmu_circ_0007634	chr19	23234851	23237151	0	-	ENSMUST00000036334	Smc5	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:23234851-23237151
mmu_circ_0007635	chr19	23327962	23351419	0	-	ENSMUST00000036069	Mamdc2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:23327962-23351419
mmu_circ_0007636	chr19	23671684	23686331	0	+	ENSMUST00000099560	Ptar1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:23671684-23686331
mmu_circ_0007637	chr19	23671684	23697718	0	+	ENSMUST00000099560	Ptar1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:23671684-23697718
mmu_circ_0007638	chr19	23698929	23699795	0	-	None	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:23698929-23699795
mmu_circ_0007639	chr19	23912167	23913925	0	-	ENSMUST00000025830	Apba1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:23912167-23913925
mmu_circ_0007640	chr19	24323600	24337515	0	-	ENSMUST00000025800	Pip5k1b	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:24323600-24337515
mmu_circ_0007641	chr19	25386449	25389128	0	+	ENSMUST00000049400	Kank1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:25386449-25389128
mmu_circ_0007642	chr19	26597083	26618049	0	+	ENSMUST00000099537	Smarca2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:26597083-26618049
mmu_circ_0007643	chr19	26597083	26631911	0	+	ENSMUST00000099537	Smarca2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:26597083-26631911
mmu_circ_0007644	chr19	26624420	26631911	0	+	ENSMUST00000099537	Smarca2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:26624420-26631911
mmu_circ_0007645	chr19	26624420	26650246	0	+	ENSMUST00000099537	Smarca2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:26624420-26650246
mmu_circ_0007646	chr19	26654033	26661322	0	+	ENSMUST00000099537	Smarca2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:26654033-26661322
mmu_circ_0007647	chr19	26654033	26675912	0	+	ENSMUST00000099537	Smarca2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:26654033-26675912
mmu_circ_0007648	chr19	26683467	26688085	0	+	ENSMUST00000099537	Smarca2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:26683467-26688085
mmu_circ_0007649	chr19	26729223	26729441	0	+	ENSMUST00000099537	Smarca2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:26729223-26729441
mmu_circ_0007650	chr19	27364017	27377221	0	-	ENSMUST00000076219	D19Bwg1357e	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27364017-27377221
mmu_circ_0007651	chr19	27371728	27373694	0	-	ENSMUST00000076219	D19Bwg1357e	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27371728-27373694
mmu_circ_0007652	chr19	27764013	27784308	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27764013-27784308
mmu_circ_0007653	chr19	27764013	27814881	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27764013-27814881
mmu_circ_0007654	chr19	27771010	27784308	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27771010-27784308
mmu_circ_0007655	chr19	27771010	27793006	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27771010-27793006
mmu_circ_0007656	chr19	27777516	27827369	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27777516-27827369
mmu_circ_0007657	chr19	27790977	27827369	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27790977-27827369
mmu_circ_0007658	chr19	27790977	27878303	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27790977-27878303
mmu_circ_0007659	chr19	27803432	27814881	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27803432-27814881
mmu_circ_0007660	chr19	27803432	27827369	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27803432-27827369
mmu_circ_0007661	chr19	27803432	27878303	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27803432-27878303
mmu_circ_0007662	chr19	27808052	27878303	0	-	ENSMUST00000173863	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27808052-27878303
mmu_circ_0007663	chr19	27814806	27845010	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27814806-27845010
mmu_circ_0007664	chr19	27814806	27878303	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27814806-27878303
mmu_circ_0007665	chr19	27827110	27845010	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27827110-27845010
mmu_circ_0007666	chr19	27827110	27900666	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27827110-27900666
mmu_circ_0007667	chr19	27878178	27900666	0	-	ENSMUST00000165566	Rfx3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:27878178-27900666
mmu_circ_0007668	chr19	28261051	28294813	0	-	ENSMUST00000162022	Glis3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:28261051-28294813
mmu_circ_0007669	chr19	28261051	28335352	0	-	ENSMUST00000162022	Glis3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:28261051-28335352
mmu_circ_0007670	chr19	28276177	28335352	0	-	ENSMUST00000162022	Glis3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:28276177-28335352
mmu_circ_0007671	chr19	28294653	28335352	0	-	ENSMUST00000162022	Glis3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:28294653-28335352
mmu_circ_0007672	chr19	28508272	28517808	0	-	ENSMUST00000162022	Glis3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:28508272-28517808
mmu_circ_0007673	chr19	28643152	28643636	0	-	ENSMUST00000162022	Glis3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:28643152-28643636
mmu_circ_0007674	chr19	28976660	28989453	0	+	ENSMUST00000171623	Cdc37l1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:28976660-28989453
mmu_circ_0007675	chr19	29120733	29121091	0	+	ENSMUST00000064393	Rcl1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29120733-29121091
mmu_circ_0007676	chr19	29265300	29274048	0	+	ENSMUST00000065796	Jak2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29265300-29274048
mmu_circ_0007677	chr19	29510564	29518735	0	+	ENSMUST00000043610	C030046E11Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29510564-29518735
mmu_circ_0007678	chr19	29575146	29581632	0	+	ENSMUST00000043610	C030046E11Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29575146-29581632
mmu_circ_0007679	chr19	29581318	29581454	0	+	ENSMUST00000043610	C030046E11Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29581318-29581454
mmu_circ_0007680	chr19	29712515	29732417	0	-	ENSMUST00000112564	9930021J03Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29712515-29732417
mmu_circ_0007681	chr19	29712515	29763849	0	-	ENSMUST00000112564	9930021J03Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29712515-29763849
mmu_circ_0007682	chr19	29720932	29763849	0	-	ENSMUST00000112564	9930021J03Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29720932-29763849
mmu_circ_0007683	chr19	29720932	29768844	0	-	ENSMUST00000112564	9930021J03Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29720932-29768844
mmu_circ_0007684	chr19	29730999	29732417	0	-	ENSMUST00000112564	9930021J03Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29730999-29732417
mmu_circ_0007685	chr19	29730999	29732434	0	-	ENSMUST00000112564	9930021J03Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29730999-29732434
mmu_circ_0007686	chr19	29730999	29763849	0	-	ENSMUST00000112564	9930021J03Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29730999-29763849
mmu_circ_0007687	chr19	29763648	29768844	0	-	ENSMUST00000112564	9930021J03Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:29763648-29768844
mmu_circ_0007688	chr19	30016463	30033894	0	+	ENSMUST00000025739	Uhrf2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:30016463-30033894
mmu_circ_0007689	chr19	30055109	30055266	0	+	ENSMUST00000025739	Uhrf2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:30055109-30055266
mmu_circ_0007690	chr19	30851879	30852227	0	-	ENSMUST00000073581	Prkg1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:30851879-30852227
mmu_circ_0007691	chr19	31562966	31563133	0	-	ENSMUST00000073581	Prkg1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:31562966-31563133
mmu_circ_0007692	chr19	32020880	32038802	0	-	ENSMUST00000096119	Asah2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:32020880-32038802
mmu_circ_0007693	chr19	32136923	32137763	0	-	ENSMUST00000142618	Sgms1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:32136923-32137763
mmu_circ_0007694	chr19	32188227	32200990	0	-	ENSMUST00000151289	Sgms1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:32188227-32200990
mmu_circ_0007695	chr19	32650149	32651151	0	-	ENSMUST00000070210	Atad1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:32650149-32651151
mmu_circ_0007696	chr19	32664632	32684409	0	-	ENSMUST00000070210	Atad1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:32664632-32684409
mmu_circ_0007697	chr19	32673191	32680038	0	-	ENSMUST00000070210	Atad1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:32673191-32680038
mmu_circ_0007698	chr19	32673191	32684409	0	-	ENSMUST00000070210	Atad1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:32673191-32684409
mmu_circ_0007699	chr19	32675925	32684409	0	-	ENSMUST00000070210	Atad1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:32675925-32684409
mmu_circ_0007700	chr19	32798103	32798211	0	+	ENSMUST00000013807	Pten	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:32798103-32798211
mmu_circ_0007701	chr19	3508619	3509496	0	+	ENSMUST00000113997	Ppp6r3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:3508619-3509496
mmu_circ_0007702	chr19	3509360	3519762	0	-	ENSMUST00000113997	Ppp6r3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:3509360-3519762
mmu_circ_0007703	chr19	3514544	3557355	0	-	ENSMUST00000113997	Ppp6r3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:3514544-3557355
mmu_circ_0007704	chr19	3520970	3568382	0	-	ENSMUST00000113997	Ppp6r3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:3520970-3568382
mmu_circ_0007705	chr19	3528277	3542515	0	-	ENSMUST00000113997	Ppp6r3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:3528277-3542515
mmu_circ_0007706	chr19	3528277	3568382	0	-	ENSMUST00000113997	Ppp6r3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:3528277-3568382
mmu_circ_0007707	chr19	3534830	3546651	0	-	ENSMUST00000113997	Ppp6r3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:3534830-3546651
mmu_circ_0007708	chr19	3534830	3557355	0	-	ENSMUST00000113997	Ppp6r3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:3534830-3557355
mmu_circ_0007709	chr19	34773014	34799289	0	-	ENSMUST00000036584	Pank1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:34773014-34799289
mmu_circ_0007710	chr19	34789620	34804773	0	-	ENSMUST00000036584	Pank1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:34789620-34804773
mmu_circ_0007711	chr19	34789677	34804773	0	-	ENSMUST00000036584	Pank1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:34789677-34804773
mmu_circ_0007712	chr19	34798499	34804773	0	-	ENSMUST00000036584	Pank1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:34798499-34804773
mmu_circ_0007713	chr19	34811152	34812597	0	-	ENSMUST00000036584	Pank1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:34811152-34812597
mmu_circ_0007714	chr19	34818156	34818509	0	-	ENSMUST00000036584	Pank1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:34818156-34818509
mmu_circ_0007715	chr19	3568244	3594255	0	-	ENSMUST00000113997	Ppp6r3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:3568244-3594255
mmu_circ_0007716	chr19	35947350	35947460	0	+	ENSMUST00000164781	Htr7	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:35947350-35947460
mmu_circ_0007717	chr19	36561335	36564830	0	+	ENSMUST00000169036	Hectd2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36561335-36564830
mmu_circ_0007718	chr19	36839485	36843523	0	+	ENSMUST00000025729	Tnks2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36839485-36843523
mmu_circ_0007719	chr19	36849012	36849988	0	+	ENSMUST00000025729	Tnks2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36849012-36849988
mmu_circ_0007720	chr19	36853584	36866295	0	+	ENSMUST00000025729	Tnks2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36853584-36866295
mmu_circ_0007721	chr19	36856634	36866295	0	+	ENSMUST00000025729	Tnks2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36856634-36866295
mmu_circ_0007722	chr19	36856634	36950418	0	+	ENSMUST00000025729	Tnks2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36856634-36950418
mmu_circ_0007723	chr19	36857909	36859197	0	+	ENSMUST00000025729	Tnks2	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36857909-36859197
mmu_circ_0007724	chr19	36928491	36958126	0	+	ENSMUST00000099494	Btaf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36928491-36958126
mmu_circ_0007725	chr19	36933770	36939899	0	+	ENSMUST00000099494	Btaf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36933770-36939899
mmu_circ_0007726	chr19	36933770	36947438	0	+	ENSMUST00000099494	Btaf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36933770-36947438
mmu_circ_0007727	chr19	36933770	36950418	0	+	ENSMUST00000099494	Btaf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36933770-36950418
mmu_circ_0007728	chr19	36935772	36947438	0	+	ENSMUST00000099494	Btaf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36935772-36947438
mmu_circ_0007729	chr19	36939038	36939168	0	+	ENSMUST00000099494	Btaf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36939038-36939168
mmu_circ_0007730	chr19	36939038	36947438	0	+	ENSMUST00000099494	Btaf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36939038-36947438
mmu_circ_0007731	chr19	36955714	36961052	0	+	ENSMUST00000099494	Btaf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36955714-36961052
mmu_circ_0007732	chr19	36963854	36969984	0	+	ENSMUST00000099494	Btaf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36963854-36969984
mmu_circ_0007733	chr19	36968122	36975035	0	+	ENSMUST00000099494	Btaf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36968122-36975035
mmu_circ_0007734	chr19	36973929	36975035	0	+	ENSMUST00000099494	Btaf1	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:36973929-36975035
mmu_circ_0007735	chr19	37000057	37000308	0	+	ENSMUST00000079754	Cpeb3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37000057-37000308
mmu_circ_0007736	chr19	37021921	37031774	0	-	ENSMUST00000079754	Cpeb3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37021921-37031774
mmu_circ_0007737	chr19	37021921	37045691	0	-	ENSMUST00000079754	Cpeb3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37021921-37045691
mmu_circ_0007738	chr19	37021921	37116621	0	-	ENSMUST00000079754	Cpeb3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37021921-37116621
mmu_circ_0007739	chr19	37045572	37116621	0	-	ENSMUST00000079754	Cpeb3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37045572-37116621
mmu_circ_0007740	chr19	37064937	37116621	0	-	ENSMUST00000079754	Cpeb3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37064937-37116621
mmu_circ_0007741	chr19	37151366	37152385	0	-	ENSMUST00000079754	Cpeb3	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37151366-37152385
mmu_circ_0007742	chr19	37253913	37308011	0	-	ENSMUST00000131070	Ide	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37253913-37308011
mmu_circ_0007743	chr19	37261519	37265607	0	-	ENSMUST00000131070	Ide	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37261519-37265607
mmu_circ_0007744	chr19	37273281	37308011	0	-	ENSMUST00000131070	Ide	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37273281-37308011
mmu_circ_0007745	chr19	37292803	37295498	0	-	ENSMUST00000131070	Ide	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37292803-37295498
mmu_circ_0007746	chr19	37302546	37308011	0	-	ENSMUST00000154308	Ide	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37302546-37308011
mmu_circ_0007747	chr19	37306379	37308011	0	-	ENSMUST00000154308	Ide	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37306379-37308011
mmu_circ_0007748	chr19	37375464	37386655	0	+	ENSMUST00000012587	Kif11	NA	NA	NA	NA	NA	NA	NA	NA	NA	chr19:37375464-37386655
